ligand,seed,affinity_kcal,gly605_contacts,glu603_contacts,MW,LogP,HBD,HBA,TPSA,pIC50_pred,IC50_pred_nM,smiles,pIC50_gnn,pIC50_gnn_std,IC50_gnn_nM,gnn_confidence,vina_norm,pIC50_norm,combined_score_gnn
phase2_7CHN_LIG_155118972,7CHN_LIG,-8.448,2,1,381.44,3.0,4,8,133.9,6.785,163.96,COCC(C)(C)Nc1nc(Nc2ccc(N)cc2OC)nc2[nH]cc(C#N)c12,4.513,0.224,30713.93,low,0.5468147812287462,0.1735106998264892,0.36016274052761765
phase2_7CHN_LIG_155109147,7CHN_LIG,-10.341,3,1,444.54,5.06,3,6,106.07,6.783,164.69,COc1cc(N2CCCC2=O)ccc1Nc1cc(NC2CCCCC2)c2c(C#N)c[nH]c2n1,4.99,0.17,10232.0,moderate,0.11766039446837456,0.44939271255060736,0.28352655350949096
phase2_7CIL_LIG_166635463,7CIL_LIG,-8.925,2,0,337.39,1.88,3,8,124.47,6.782,165.08,C[C@@H]1CCCN1c1c(C#N)c2c(N)nc(Nc3cn[nH]c3)nc2n1C,5.014,0.238,9672.62,low,0.4386760371797776,0.4632735685367265,0.4509748028582521
phase2_7CHM_LIG_142416311,7CHM_LIG,-9.557,3,2,466.52,2.98,4,8,130.99,6.778,166.72,CCNc1nc(Nc2cc(F)c(C(=O)NC3CCN(C)CC3)cc2OC)nc2[nH]cc(C#N)c12,5.014,0.227,9690.52,low,0.29539786896395354,0.4632735685367265,0.37933571875034
phase2_7CHM_LIG_142416352,7CHM_LIG,-9.241,4,1,453.48,3.02,3,8,128.19,6.777,166.99,CCCNc1nc(Nc2cc(F)c(C(=O)N3CCOCC3)cc2OC)nc2[nH]cc(C#N)c12,4.874,0.297,13380.95,low,0.3670369530718658,0.3823019086176978,0.37466943084478177
phase2_7CHM_LIG_155012414,7CHM_LIG,-9.196,2,0,452.49,2.54,3,8,122.2,6.774,168.32,CNc1nc(Nc2cc(F)c(C(=O)N3CCN(C)C[C@@H]3C)cc2OC)nc2[nH]cc(C#N)c12,4.751,0.153,17755.15,moderate,0.3772387213783722,0.3111625216888376,0.3442006215336049
phase2_7CHM_LIG_142416358,7CHM_LIG,-9.402,2,0,452.49,2.54,3,8,122.2,6.774,168.32,CNc1nc(Nc2cc(F)c(C(=O)N3CCN(C)C[C@H]3C)cc2OC)nc2[nH]cc(C#N)c12,5.104,0.268,7868.12,low,0.33053729313080943,0.5153267784846732,0.4229320358077413
phase2_7CHN_LIG_155119025,7CHN_LIG,-8.82,3,1,421.51,3.71,4,8,122.12,6.771,169.26,CC[C@H](C)Nc1nc(Nc2ccc(N3CCC[C@H]3O)cc2OC)nc2[nH]cc(C#N)c12,4.76,0.273,17393.39,low,0.4624801632282928,0.316367842683632,0.38942400295596236
phase2_7CHM_LIG_77846573,7CHM_LIG,-10.158,2,0,472.55,4.8,5,7,124.19,6.758,174.65,CNC(=O)c1ccc(Nc2nc(NC3CCCC3)c3c(-c4ccc(O)cc4)c[nH]c3n2)c(OC)c1,5.091,0.355,8106.84,low,0.1591475855815008,0.5078079814921921,0.33347778353684643
phase2_7CHM_LIG_142416363,7CHM_LIG,-9.197,3,0,425.42,2.23,3,8,128.19,6.74,181.91,CNc1nc(Nc2cc(F)c(C(=O)N3CCOCC3)cc2OC)nc2[nH]cc(C#N)c12,4.771,0.168,16930.98,moderate,0.37701201541600554,0.32272990167727,0.34987095854663774
phase2_7CIL_LIG_166673091,7CIL_LIG,-8.971,3,1,330.37,1.74,4,7,95.48,6.723,189.22,C[C@H]1C[C@@H](Nc2nc(Nc3cnn(C)c3)nc3[nH]cc(F)c23)CN1,5.03,0.283,9337.4,low,0.42824756291090443,0.4725274725274726,0.4503875177191885
phase2_7CHM_LIG_142416357,7CHM_LIG,-9.259,3,0,439.45,2.63,3,8,128.19,6.723,189.28,CCNc1nc(Nc2cc(F)c(C(=O)N3CCOCC3)cc2OC)nc2[nH]cc(C#N)c12,4.646,0.211,22571.62,low,0.36295624574926305,0.25043377674956613,0.30669501124941456
phase2_7CHN_LIG_166866595,7CHN_LIG,-8.89,1,0,407.48,3.32,4,8,122.12,6.722,189.88,COc1cc(N2CCC[C@H]2O)ccc1Nc1nc(NC(C)C)c2c(C#N)c[nH]c2n1,4.684,0.142,20689.56,moderate,0.44661074586261595,0.27241179872758825,0.3595112722951021
phase2_7CHN_LIG_166866548,7CHN_LIG,-9.799,3,1,435.56,4.79,3,8,101.89,6.718,191.28,COc1cc(N2CCCS2)ccc1Nc1nc(NC2CCCC2)c2c(C#N)c[nH]c2n1,4.589,0.177,25763.65,moderate,0.24053502607118568,0.21746674378253344,0.22900088492685955
phase2_7CHM_LIG_155012426,7CHM_LIG,-9.27,2,1,466.52,2.93,3,8,122.2,6.718,191.49,CCNc1nc(Nc2cc(F)c(C(=O)N3CCN(C)C[C@@H]3C)cc2OC)nc2[nH]cc(C#N)c12,4.638,0.184,22997.53,moderate,0.3604624801632283,0.24580682475419305,0.3031346524587107
phase2_7CHM_LIG_142416333,7CHM_LIG,-9.468,1,0,466.52,2.93,3,8,122.2,6.718,191.49,CCNc1nc(Nc2cc(F)c(C(=O)N3CCN(C)C[C@H]3C)cc2OC)nc2[nH]cc(C#N)c12,4.998,0.337,10043.37,low,0.3155746996145998,0.4540196645459804,0.3847971820802901
phase2_7CHM_LIG_142436041,7CHM_LIG,-9.903,2,1,454.48,4.49,3,6,106.07,6.713,193.79,CCNc1cc(Nc2ccc(C(=O)N3CCC(F)(F)CC3)cc2OC)nc2[nH]cc(C#N)c12,5.375,0.336,4213.1,low,0.2169576059850372,0.6720647773279351,0.44451119165648617
phase2_7CIL_LIG_175716355,7CIL_LIG,-9.089,2,1,360.85,2.64,4,7,95.48,6.708,195.72,C[C@H]1CC[C@@H](Nc2nc(Nc3cnn(C)c3)nc3[nH]cc(Cl)c23)CN1,5.347,0.319,4498.12,low,0.40149625935162075,0.6558704453441297,0.5286833523478752
phase2_7CHN_LIG_155691552,7CHN_LIG,-9.529,3,2,419.49,3.78,3,7,118.96,6.703,198.02,COc1cc(N2CCCC2=O)ccc1Nc1nc(NCC(C)C)c2c(C#N)c[nH]c2n1,4.867,0.305,13592.97,low,0.30174563591022435,0.37825332562174663,0.3399994807659855
