assay_chembl_id,canonical_smiles,document_chembl_id,molecule_chembl_id,standard_units,standard_value,units,value,IC50_nM,pIC50
CHEMBL3707802,CO[C@@H]1[C@H](N)C[C@H](c2ccncc2NC(=O)c2ccc(F)c(-c3c(F)cc(OC(C)C)cc3F)n2)C[C@@H]1C,CHEMBL3639088,CHEMBL3687511,nM,3.01,nM,3.01,3.01,8.521433504406156
CHEMBL3707802,COC(=O)N(C)[C@@H]1[C@H](N)CN(c2ccncc2NC(=O)c2ccc(F)c(-c3c(F)cc(C)cc3F)n2)C[C@@H]1C,CHEMBL3639088,CHEMBL3687468,nM,1.51,nM,1.51,1.51,8.821023052706831
CHEMBL3707781,CCCOc1ccc(F)c(-c2nc(C(=O)Nc3cnccc3[C@@H]3CC[C@H](O)[C@H](N)C3)ccc2F)c1,CHEMBL3638421,CHEMBL3651960,nM,76.0,nM,76.0,76.0,7.119186407719209
CHEMBL3707802,C[C@H]1C[C@@H](c2ccncc2NC(=O)c2ccc(F)c(-c3c(F)cccc3F)n2)C[C@@H](N)C1=O,CHEMBL3639088,CHEMBL3687424,nM,33.31,nM,33.31,33.31,7.477425367308824
CHEMBL3707802,C[C@H]1C[C@@H](c2ccncc2NC(=O)c2ccc(F)c(-c3c(F)cc(C4(O)CCOCC4)cc3F)n2)C[C@@H](N)[C@H]1S(C)(=O)=O,CHEMBL3639088,CHEMBL3687530,nM,5.93,nM,5.93,5.93,8.226945306635738
CHEMBL3707781,C[C@H]1C[C@@H](c2ccncc2NC(=O)c2nc(-c3c(F)cccc3F)c(F)cc2N)C[C@@H](N)[C@H]1O,CHEMBL3638421,CHEMBL3652025,nM,5.0,nM,5.0,5.0,8.301029995663981
CHEMBL3707802,C[C@H]1C[C@@H](c2ccncc2NC(=O)c2ccc(F)c(-c3c(F)cccc3F)n2)C[C@@H](N)[C@H]1n1cc(C(C)(C)O)nn1,CHEMBL3639088,CHEMBL3691972,nM,5.27,nM,5.27,5.27,8.278189384787453
CHEMBL3707802,CCO[C@@H]1[C@H](C)C[C@H](c2ccncc2NC(=O)c2ccc(F)c(-c3c(F)cc(C)cc3F)n2)C[C@@H]1N,CHEMBL3639088,CHEMBL3687499,nM,1471.24,nM,1471.24,1471.24,5.832316476032674
CHEMBL3707781,C[C@@H]1C[C@H](N)C[C@H](c2ccncc2NC(=O)c2ccc(F)c(-c3cc(O)ccc3F)n2)C1,CHEMBL3638421,CHEMBL3651942,nM,2.0,nM,2.0,2.0,8.698970004336019
CHEMBL3707802,COCCOc1cc(F)c(-c2nc(C(=O)Nc3cnccc3[C@H]3C[C@@H](N)[C@H](OC)[C@@H](C)C3)ccc2F)c(F)c1,CHEMBL3639088,CHEMBL3687533,nM,4.03,nM,4.03,4.03,8.39469495385889
CHEMBL3707781,Nc1ccc(-c2c(F)cccc2F)nc1C(=O)Nc1cnccc1[C@@H]1CC[C@H](O)[C@@H](N)C1,CHEMBL3638421,CHEMBL3651998,nM,13.0,nM,13.0,13.0,7.886056647693163
CHEMBL3707802,CC(=O)N[C@@H]1[C@H](C)C[C@H](c2ccncc2NC(=O)c2ccc(F)c(-c3c(F)cccc3F)n2)C[C@@H]1N,CHEMBL3639088,CHEMBL3687435,nM,2700.0,nM,2700.0,2700.0,5.568636235841013
CHEMBL3707781,C[C@H]1C[C@@H](c2ccncc2NC(=O)c2ccc(F)c(-c3cc(C(F)(F)F)ccc3F)n2)C[C@@H](N)[C@@H]1O,CHEMBL3638421,CHEMBL3652020,nM,68.0,nM,68.0,68.0,7.167491087293763
