smiles,mps1_pIC50,aurora_pIC50,herg_pIC50
CC(=O)Nc1cccc(C2CCN(CCCn3nc(-c4ccc(F)c(F)c4)c4ccccc4c3=O)CC2)c1,,,4.8
CC(=O)Nc1cccc(CCN2CCN(c3cccc4nc(C)ccc34)CC2)c1,,,5.4
CC(=O)Nc1cccc(CN2CCC(NC(=O)c3cc(=O)c4ccc(F)cc4o3)CC2)c1,,,4.22
CC(=O)Nc1cccc(CNc2nnc(-c3ccc4[nH]cc(-c5ccccc5F)c4c3)s2)c1,5.6639968154492255,,
CC(=O)Nc1cccc(N2CCN(CCCCNS(=O)(=O)CC3CCCCC3)CC2)c1,,,5.42
CC(=O)Nc1cccc(N2CCN(CCCCNS(=O)(=O)c3ccc(C)cc3)CC2)c1,,,6.52
CC(=O)Nc1cccc(Nc2ncnc(N3CCC(OCc4ccc(C(C)C)cc4)CC3)n2)c1C,,,6.36
CC(=O)Nc1cccc(Nc2ncnc(N3CCC(OCc4ccc(C)cc4)CC3)n2)c1C,,,5.71
CC(=O)Nc1cccc(Nc2ncnc(N3CCC(Oc4ccc(C(F)(F)F)cc4)CC3)n2)c1C,,,5.39
CC(=O)Nc1cccc(Nc2ncnc(N3CCC(Oc4ccc(OC(F)(F)F)cc4)CC3)n2)c1C,,,5.58
CC(=O)Nc1cccc(Nc2ncnc(N3CCc4ccccc4C3)n2)c1,,,5.42
CC(=O)Nc1cnc2c(C(=O)Nc3cnccc3N3C[C@@H](N)[C@H](O)[C@@H](C)C3)c(N)sc2c1,7.259637310505756,,
CC(=O)Nc1nc(-c2ccc3[nH]cc(-c4cncc(OC(C)C)n4)c3c2)no1,6.0,,
CC(=O)Nc1nc(C(=O)Nc2ccccc2N2CCCCC2)cs1,4.903,,
CC(=O)Nc1nc(C(=O)Nc2ccncc2N2CCCCC2)cs1,5.2,,
CC(=O)Nc1nc(C(=O)Nc2cnc(N)cc2N2CCCCC2)cs1,4.903,,
CC(=O)Nc1nc(C(=O)Nc2cnc(N)nc2N2CCCCC2)cs1,4.903,,
CC(=O)Nc1nc(C(=O)Nc2cnccc2N2CCCCC2)cs1,4.903,,
CC(=O)Nc1nc(C(=O)Nc2cncnc2N2CCCCC2)cs1,4.903,,
CC(=O)Nc1nc2c(-c3cc4c([nH]3)CCNC4=O)cccc2nc1C,7.696803942579511,,
CC(=O)O.O=C(O)c1ccc2c3c1cccc3c(=O)n1c3ccccc3nc21,6.958607314841775,,
CC(=O)OCC(=O)NC1CCN(CCc2ccc(Oc3nc4ccccc4s3)cc2)CC1,,,5.3
CC(=O)OCC(=O)NC1CCN(Cc2ccc(Oc3nc4ccccc4s3)cc2)CC1,,,4.52
CC(=O)O[C@H]1CC[C@@H](c2ccncc2NC(=O)c2nc(-c3c(F)cccc3F)ccc2N)C[C@H]1N,8.154901959985743,,
CC(=O)c1c(C)c2cnc(Nc3ccc(N4CCNCC4)cn3)nc2n(C2CCCC2)c1=O,4.523,,
CC(=O)c1ccc(-c2c(-c3cccc(OC(F)(F)F)c3)cc3n2[C@@H](CCCN)CNC3=O)cc1,6.889410289700751,,
CC(=O)c1ccc(-c2c(-c3cccc(OC(F)(F)F)c3)cc3n2[C@@H](CCN)CNC3=O)cc1,7.769551078621726,,
CC(=O)c1ccc(-c2cccc(-n3cc(C(=O)NC(C)C)c(=O)c4cccnc43)c2)cc1,,,5.05
CC(=O)c1ccc(CN2CCC(NC(=O)c3cc(=O)c4ccc(F)cc4o3)CC2)cc1,,,7.69
CC(=O)c1ccc(F)c(-c2c[nH]c3ccc(-c4cncc(NCCN(C)C)n4)cc23)c1,6.657577319177793,,
CC(=O)c1ccc2c(c1)N(CCN1CCC(NCc3ccc4c(n3)NC(=O)CO4)CC1)C(=O)CO2,,,4.31
CC(=O)c1ccc2oc3c(=O)[nH]c(CN4CCN(C)CC4)nc3c2c1,6.2076083105017466,,
CC(=O)c1cccc(-c2ccc([C@H]3CN(C)C[C@@H]3NS(=O)(=O)C(C)C)cc2)c1,,,5.1
CC(=O)c1cccc(-c2cccc(-n3cc(C(=O)NC(C)C)c(=O)c4cccnc43)c2)c1,,,5.16
CC(=O)c1cccc(-c2cccc(-n3cc(C(=O)Nc4nccc(Cl)c4Cl)c(=O)c4cccnc43)c2)c1,,,6.13
CC(=O)c1cccc(-c2cnc3ccc(NCC4CC4)nn23)c1,5.7447274948966935,,
CC(=O)c1ccnc(-c2c[nH]c3ccc(-c4nnc(NC(C)C)o4)cc23)n1,7.150089441698504,,
CC(=O)c1cn(-c2ccc(F)cc2)c2ccc(Cl)cc12,,,5.0
